Номер счёта;Тип ИПУ;Заводской номер счётчика;Дата установки;Дата последней поверки;Срок следующей поверки;Последнее показание;Дата передачи показания
2100283738;ХВС;17278977;2016-11-19;2020-11-09;2026-11-09;407;2026-08-25
2100293839;ХВС;24289088;2023-04-06;2023-04-07;2029-04-07;61;2026-08-23
2100303940;ХВС;21290199;2018-12-11;2024-12-13;2030-12-13;322;2026-03-24
2100324142;ХВС;17301210;2020-05-27;2024-05-29;2030-05-29;239;2026-08-20
2100334243;ХВС;24312321;2021-08-18;2021-08-19;2027-08-19;117;2026-08-24
2100344344;ХВС;21323432;2017-06-06;2023-06-08;2029-06-08;356;2026-08-21
2100344344;ГВС;49334543;2017-06-06;2022-08-01;2026-08-01;141;2026-07-17
2100354445;ХВС;17345654;2022-09-21;2022-09-22;2028-09-22;89;2026-08-22
2100364546;ХВС;24356765;2019-02-13;2023-02-15;2029-02-15;274;2026-08-25
2100374647;ХВС;21367876;2016-03-03;2022-03-05;2028-03-05;462;2026-08-19
2100374647;ГВС;48378987;2016-03-03;2020-09-15;2024-09-15;203;2026-04-21
2100384748;ХВС;17389098;2023-07-26;2023-07-27;2029-07-27;47;2026-08-23
2100394849;ХВС;24390109;2020-10-28;2024-10-30;2030-10-30;186;2026-08-20
2100404950;ХВС;21401210;2014-12-17;2020-10-05;2026-10-05;519;2026-08-24
2100425152;ХВС;17412321;2021-01-20;2021-01-21;2027-01-21;133;2026-08-21
2100435253;ХВС;24423432;2019-06-24;2023-06-26;2029-06-26;244;2026-08-22
2100445354;ХВС;21434543;2018-08-15;2024-08-17;2030-08-17;301;2026-08-25
2100445354;ГВС;49445654;2018-08-15;2022-04-30;2026-04-30;118;2026-06-19
2100455455;ХВС;17456765;2022-04-12;2022-04-13;2028-04-13;79;2026-08-23
2100465556;ХВС;24467876;2020-03-05;2024-03-07;2030-03-07;213;2026-08-20
2100475657;ХВС;21478987;2019-05-14;2023-05-16;2029-05-16;287;2026-05-23
2100485758;ХВС;17489098;2021-11-09;2021-11-10;2027-11-10;164;2026-08-24
2100495859;ХВС;21490109;2015-07-29;2021-07-31;2027-07-31;395;2026-08-21
2100495859;ГВС;48491210;2015-07-29;2021-08-01;2025-08-01;156;2026-05-19
2100505960;ХВС;17501210;2023-03-15;2023-03-16;2029-03-16;52;2026-08-22
2100526162;ХВС;24512321;2020-08-26;2024-08-28;2030-08-28;226;2026-08-25
2100536263;ХВС;21523432;2021-04-07;2021-04-08;2027-04-08;141;2026-08-19
2100546364;ХВС;17534543;2016-09-28;2020-09-20;2026-09-20;472;2026-08-23
2100556465;ХВС;24545654;2022-06-14;2022-06-15;2028-06-15;93;2026-08-20
2100566566;ХВС;21556765;2017-02-08;2023-02-10;2029-02-10;338;2026-08-24
2100566566;ГВС;49567876;2017-02-08;2022-06-30;2026-06-30;132;2026-07-18
2100576667;ХВС;17578987;2019-10-22;2023-10-24;2029-10-24;259;2026-08-21
2100586768;ХВС;24589098;2020-01-15;2024-01-17;2030-01-17;178;2026-08-22
2100596869;ХВС;21590109;2018-03-27;2024-03-29;2030-03-29;305;2026-04-22
2100606970;ХВС;17601210;2021-09-08;2021-09-09;2027-09-09;122;2026-08-25
2100627172;ХВС;24612321;2019-12-03;2023-12-05;2029-12-05;291;2026-08-23
2100637273;ХВС;21623432;2022-01-25;2022-01-26;2028-01-26;68;2026-08-20
2100647374;ХВС;17634543;2016-06-16;2022-06-18;2028-06-18;417;2026-08-24
2100647374;ГВС;48645654;2016-06-16;2020-08-10;2024-08-10;174;2026-04-20
2100657475;ХВС;24656765;2023-05-31;2023-06-01;2029-06-01;44;2026-08-21
2100667576;ХВС;21667876;2020-11-24;2024-11-26;2030-11-26;205;2026-08-22
2100677677;ХВС;17678987;2014-10-08;2020-10-14;2026-10-14;534;2026-08-25
2100687778;ХВС;24689098;2021-06-30;2021-07-01;2027-07-01;157;2026-08-19
2100697879;ХВС;21690109;2019-08-05;2023-08-07;2029-08-07;268;2026-08-23
2100707980;ХВС;17701210;2018-10-16;2024-10-18;2030-10-18;346;2026-03-25
2100728182;ХВС;24712321;2020-04-21;2024-04-23;2030-04-23;189;2026-08-20
2100738283;ХВС;21723432;2021-12-13;2021-12-14;2027-12-14;136;2026-08-24
2100748384;ХВС;17734543;2015-09-09;2021-09-11;2027-09-11;458;2026-08-21
2100748384;ГВС;49745654;2015-09-09;2021-04-15;2025-04-15;199;2026-05-18
2100758485;ХВС;24756765;2022-03-29;2022-03-30;2028-03-30;84;2026-08-22
2100768586;ХВС;21767876;2019-04-16;2023-04-18;2029-04-18;277;2026-08-25
2100778687;ХВС;17778987;2020-09-01;2024-09-03;2030-09-03;218;2026-08-23
2100788788;ХВС;24789098;2016-11-30;2020-11-18;2026-11-18;501;2026-08-20
2100798889;ХВС;21790109;2023-02-21;2023-02-22;2029-02-22;59;2026-08-24
2100808990;ХВС;17801210;2021-07-06;2021-07-07;2027-07-07;148;2026-08-21
2100829192;ХВС;24812321;2019-01-30;2023-02-01;2029-02-01;296;2026-08-22
2100839293;ХВС;21823432;2020-06-23;2024-06-25;2030-06-25;171;2026-08-25
2100849394;ХВС;17834543;2017-05-10;2023-05-12;2029-05-12;384;2026-08-19
2100849394;ГВС;48845654;2017-05-10;2022-05-25;2026-05-25;163;2026-06-17
2100859495;ХВС;24856765;2022-10-11;2022-10-12;2028-10-12;107;2026-08-23
2100869596;ХВС;21867876;2021-02-02;2021-02-03;2027-02-03;129;2026-08-20
2100879697;ХВС;17878987;2018-07-24;2024-07-26;2030-07-26;313;2026-05-20
2100889798;ХВС;24889098;2019-11-18;2023-11-20;2029-11-20;247;2026-08-24
2100899899;ХВС;21890109;2020-02-26;2024-02-28;2030-02-28;194;2026-08-21
2100909900;ХВС;17901210;2014-09-17;2020-09-09;2026-09-09;562;2026-08-22
2100920102;ХВС;24912321;2021-05-19;2021-05-20;2027-05-20;118;2026-08-25
2100930203;ХВС;21923432;2019-07-01;2023-07-03;2029-07-03;262;2026-08-19
2100940304;ХВС;17934543;2016-08-23;2022-08-25;2028-08-25;429;2026-08-23
2100940304;ГВС;49945654;2016-08-23;2022-07-20;2026-07-20;187;2026-07-19
2100950405;ХВС;24956765;2022-12-06;2022-12-07;2028-12-07;76;2026-08-20
2100960506;ХВС;21967876;2020-05-12;2024-05-14;2030-05-14;231;2026-08-24
2100970607;ХВС;17978987;2021-10-26;2021-10-27;2027-10-27;154;2026-08-21
2100980708;ХВС;24989098;2019-03-19;2023-03-21;2029-03-21;283;2026-08-22
2100990809;ХВС;21990109;2018-05-07;2024-05-09;2030-05-09;337;2026-04-21
2100100910;ХВС;17011210;2023-08-14;2023-08-15;2029-08-15;51;2026-08-25
2100204815;ХВС;24022321;2020-01-28;2024-01-30;2030-01-30;207;2026-08-23
2100315926;ХВС;21033432;2021-03-16;2021-03-17;2027-03-17;139;2026-08-20
2100426037;ХВС;17044543;2015-06-24;2021-06-26;2027-06-26;476;2026-08-24
2100426037;ГВС;48055654;2015-06-24;2021-03-10;2025-03-10;216;2026-05-19
2100537148;ХВС;24066765;2022-07-19;2022-07-20;2028-07-20;91;2026-08-21
2100648259;ХВС;21077876;2019-09-10;2023-09-12;2029-09-12;254;2026-08-22
2100759360;ХВС;17088987;2016-10-26;2020-10-21;2026-10-21;489;2026-08-25
2100860471;ХВС;24099098;2020-12-15;2024-12-17;2030-12-17;223;2026-08-19
2100971582;ХВС;21100109;2021-08-31;2021-09-01;2027-09-01;166;2026-08-23
2100082693;ХВС;17111210;2019-05-27;2023-05-29;2029-05-29;298;2026-08-20
2100304815;ХВС;24122321;2020-03-31;2024-04-02;2030-04-02;182;2026-08-24
2100415926;ХВС;21133432;2021-01-12;2021-01-13;2027-01-13;124;2026-08-21
2100526037;ХВС;17144543;2017-04-04;2023-04-06;2029-04-06;367;2026-08-22
2100526037;ГВС;49155654;2017-04-04;2022-08-15;2026-08-15;149;2026-07-18
2100637148;ХВС;24166765;2022-05-10;2022-05-11;2028-05-11;87;2026-08-25
2100748259;ХВС;21177876;2019-12-24;2023-12-26;2029-12-26;271;2026-08-19
2100859360;ХВС;17188987;2020-07-21;2024-07-23;2030-07-23;209;2026-08-23
2100960471;ХВС;24199098;2018-09-12;2024-09-14;2030-09-14;328;2026-03-23
2100071582;ХВС;21200109;2021-06-08;2021-06-09;2027-06-09;145;2026-08-20
2100182693;ХВС;17211210;2014-11-05;2020-11-11;2026-11-11;547;2026-08-24
2100404815;ХВС;24222321;2019-02-26;2023-02-28;2029-02-28;236;2026-08-21
2100515926;ХВС;21233432;2020-10-13;2024-10-15;2030-10-15;197;2026-08-22
2100626037;ХВС;17244543;2016-02-17;2022-02-19;2028-02-19;403;2026-08-25
2100626037;ГВС;48255654;2016-02-17;2020-06-25;2024-06-25;178;2026-04-19
2100737148;ХВС;24266765;2022-09-05;2022-09-06;2028-09-06;101;2026-08-23
2100848259;ХВС;21277876;2021-04-27;2021-04-28;2027-04-28;158;2026-08-20
2100959360;ХВС;17288987;2019-06-17;2023-06-19;2029-06-19;289;2026-08-24
2100060471;ХВС;24299098;2020-08-04;2024-08-06;2030-08-06;214;2026-08-21
2100171582;ХВС;21300109;2015-03-25;2021-03-27;2027-03-27;441;2026-08-22
2100171582;ГВС;49301210;2015-03-25;2021-08-05;2025-08-05;192;2026-05-17
2100282693;ХВС;17321210;2023-06-20;2023-06-21;2029-06-21;63;2026-08-25
2100504815;ХВС;24322321;2020-11-10;2024-11-12;2030-11-12;228;2026-08-19
2100615926;ХВС;21333432;2021-02-23;2021-02-24;2027-02-24;131;2026-08-23
2100726037;ХВС;17344543;2016-09-07;2020-09-16;2026-09-16;515;2026-08-20
2100837148;ХВС;24366765;2022-01-18;2022-01-19;2028-01-19;71;2026-08-24
2100948259;ХВС;21377876;2019-10-07;2023-10-09;2029-10-09;266;2026-08-21
2100059360;ХВС;17388987;2020-04-14;2024-04-16;2030-04-16;191;2026-08-22
2100160471;ХВС;24391098;2018-11-27;2024-11-29;2030-11-29;354;2026-04-20
2100271582;ХВС;21410109;2021-07-27;2021-07-28;2027-07-28;149;2026-08-25
2100382693;ХВС;17421210;2019-01-15;2023-01-17;2029-01-17;281;2026-08-19
2100604815;ХВС;24422321;2020-06-09;2024-06-11;2030-06-11;203;2026-08-23
2100715926;ХВС;21433432;2021-09-21;2021-09-22;2027-09-22;162;2026-08-20
2100826037;ХВС;17444543;2017-07-12;2023-07-14;2029-07-14;376;2026-08-24
2100826037;ГВС;48455654;2017-07-12;2022-04-20;2026-04-20;158;2026-06-18
2100937148;ХВС;24466765;2022-11-29;2022-11-30;2028-11-30;112;2026-08-21
2100048259;ХВС;21477876;2019-08-26;2023-08-28;2029-08-28;258;2026-08-22
2100159360;ХВС;17488987;2020-01-07;2024-01-09;2030-01-09;186;2026-08-25
2100260471;ХВС;24499098;2021-05-04;2021-05-05;2027-05-05;127;2026-08-19
2100371582;ХВС;21500109;2014-10-29;2020-10-07;2026-10-07;573;2026-08-23
2100482693;ХВС;17521210;2023-03-07;2023-03-08;2029-03-08;56;2026-08-20
2100704815;ХВС;24522321;2020-09-22;2024-09-24;2030-09-24;219;2026-08-24
2100815926;ХВС;21533432;2021-11-30;2021-12-01;2027-12-01;173;2026-08-21
2100926037;ХВС;17544543;2016-04-19;2022-04-21;2028-04-21;447;2026-08-22
2100926037;ГВС;49555654;2016-04-19;2021-06-15;2025-06-15;205;2026-05-18
2100037148;ХВС;24566765;2022-02-08;2022-02-09;2028-02-09;82;2026-08-25
2100148259;ХВС;21577876;2019-04-02;2023-04-04;2029-04-04;293;2026-08-19
2100259360;ХВС;17588987;2018-02-20;2024-02-22;2030-02-22;319;2026-05-21
2100360471;ХВС;24599098;2020-12-29;2024-12-31;2030-12-31;241;2026-08-23
2100471582;ХВС;21600109;2021-08-10;2021-08-11;2027-08-11;154;2026-08-20
2100582693;ХВС;17621210;2019-11-04;2023-11-06;2029-11-06;276;2026-08-24
2100804815;ХВС;24622321;2020-05-26;2024-05-28;2030-05-28;201;2026-08-21
2100915926;ХВС;21633432;2021-01-05;2021-01-06;2027-01-06;116;2026-08-22
2100026037;ХВС;17644543;2015-08-05;2021-08-07;2027-08-07;468;2026-08-25
2100026037;ГВС;48655654;2015-08-05;2021-05-30;2025-05-30;224;2026-05-19
2100137148;ХВС;24666765;2022-08-23;2022-08-24;2028-08-24;97;2026-08-19
2100248259;ХВС;21677876;2019-12-16;2023-12-18;2029-12-18;262;2026-08-23
2100359360;ХВС;17688987;2016-11-08;2020-11-24;2026-11-24;528;2026-08-20
2100460471;ХВС;24699098;2020-02-18;2024-02-20;2030-02-20;189;2026-08-24
2100571582;ХВС;21700109;2021-06-29;2021-06-30;2027-06-30;142;2026-08-21
2100682693;ХВС;17721210;2018-04-09;2024-04-11;2030-04-11;342;2026-03-24
2100904815;ХВС;24722321;2019-07-22;2023-07-24;2029-07-24;251;2026-08-22
2100015926;ХВС;21733432;2020-10-05;2024-10-07;2030-10-07;216;2026-08-25
2100126037;ХВС;17744543;2017-01-31;2023-02-02;2029-02-02;391;2026-08-19
2100126037;ГВС;49755654;2017-01-31;2022-07-10;2026-07-10;171;2026-07-17
2100237148;ХВС;24766765;2022-04-25;2022-04-26;2028-04-26;86;2026-08-23
2100348259;ХВС;21777876;2021-03-08;2021-03-09;2027-03-09;134;2026-08-20
2100459360;ХВС;17788987;2019-09-02;2023-09-04;2029-09-04;269;2026-08-24
2100560471;ХВС;24799098;2020-07-06;2024-07-08;2030-07-08;208;2026-08-21
2100671582;ХВС;21800109;2014-09-23;2020-09-28;2026-09-28;586;2026-08-22
2100782693;ХВС;17821210;2023-01-24;2023-01-25;2029-01-25;64;2026-08-25
2100004815;ХВС;24822321;2020-03-17;2024-03-19;2030-03-19;195;2026-08-19
2100115926;ХВС;21833432;2021-10-18;2021-10-19;2027-10-19;168;2026-08-23
2100226037;ХВС;17844543;2016-07-05;2022-07-07;2028-07-07;425;2026-08-20
2100226037;ГВС;48855654;2016-07-05;2022-03-20;2026-03-20;183;2026-06-19
2100337148;ХВС;24866765;2022-06-27;2022-06-28;2028-06-28;94;2026-08-24
2100448259;ХВС;21877876;2019-05-13;2023-05-15;2029-05-15;285;2026-08-21
2100559360;ХВС;17888987;2020-08-31;2024-09-02;2030-09-02;227;2026-08-22
2100660471;ХВС;24899098;2018-06-11;2024-06-13;2030-06-13;358;2026-04-22
2100771582;ХВС;21900109;2021-12-20;2021-12-21;2027-12-21;179;2026-08-25
2100882693;ХВС;17921210;2019-03-03;2023-03-05;2029-03-05;297;2026-08-19
2100104815;ХВС;24922321;2020-11-23;2024-11-25;2030-11-25;233;2026-08-23
2100215926;ХВС;21933432;2021-02-15;2021-02-16;2027-02-16;126;2026-08-20
2100326037;ХВС;17944543;2015-05-20;2021-05-22;2027-05-22;452;2026-08-24
2100326037;ГВС;49955654;2015-05-20;2021-04-25;2025-04-25;208;2026-05-18
2100437148;ХВС;24966765;2022-10-24;2022-10-25;2028-10-25;108;2026-08-21
2100548259;ХВС;21977876;2019-01-08;2023-01-10;2029-01-10;279;2026-08-22
2100659360;ХВС;17988987;2020-04-01;2024-04-03;2030-04-03;192;2026-08-25
2100760471;ХВС;24999098;2016-10-12;2020-10-26;2026-10-26;541;2026-08-19
2100871582;ХВС;21010109;2021-07-19;2021-07-20;2027-07-20;151;2026-08-23
2100982693;ХВС;17021210;2019-08-19;2023-08-21;2029-08-21;264;2026-08-20
