Номер счёта;Расчётный период;Вид услуги;Начислено;Оплачено;Задолженность;Основание начисления
2100093704;2026-08;ХВ;232,56;232,56;0,00;по нормативу
2100093704;2026-08;ХВО;111,63;111,63;0,00;по нормативу
2100100910;2026-06;ХВ;621,14;621,14;0,00;перерасчёт
2100100910;2026-06;ХВО;298,15;298,15;0,00;перерасчёт
2100100910;2026-07;ХВ;384,50;372,51;11,99;по счётчику
2100100910;2026-07;ХВО;184,56;178,81;5,75;по счётчику
2100100910;2026-08;ХВ;212,19;0,00;212,19;по счётчику
2100100910;2026-08;ХВО;101,85;0,00;101,85;по счётчику
2100101112;2026-06;ХВ;227,68;227,68;0,00;по счётчику
2100101112;2026-06;ХВО;109,29;109,29;0,00;по счётчику
2100101112;2026-07;ХВ;550,97;550,97;0,00;по счётчику
2100101112;2026-07;ХВО;264,47;264,47;0,00;по счётчику
2100101112;2026-08;ХВ;206,23;206,23;0,00;по счётчику
2100101112;2026-08;ХВО;98,99;98,99;0,00;по счётчику
2100104815;2026-06;ХВ;186,65;186,65;0,00;по счётчику
2100104815;2026-06;ХВО;89,59;89,59;0,00;по счётчику
2100104815;2026-07;ХВ;318,12;318,12;0,00;по счётчику
2100104815;2026-07;ХВО;152,70;152,70;0,00;по счётчику
2100104815;2026-08;ХВ;567,54;567,54;0,00;по счётчику
2100104815;2026-08;ХВО;272,42;272,42;0,00;по счётчику
2100110021;2026-06;ХВ;568,88;568,88;0,00;по нормативу
2100110021;2026-06;ХВО;273,06;273,06;0,00;по нормативу
2100110021;2026-06;Полив;213,92;213,92;0,00;по нормативу
2100110021;2026-07;ХВ;284,74;284,74;0,00;по нормативу
2100110021;2026-07;ХВО;136,68;136,68;0,00;по нормативу
2100110021;2026-07;Полив;113,65;113,65;0,00;по нормативу
2100110021;2026-08;ХВ;625,01;625,01;0,00;по нормативу
2100110021;2026-08;ХВО;300,00;300,00;0,00;по нормативу
2100110021;2026-08;Полив;146,88;146,88;0,00;по нормативу
2100111011;2026-06;ХВ;402,37;402,37;0,00;по нормативу
2100111011;2026-06;ХВО;193,14;193,14;0,00;по нормативу
2100111011;2026-07;ХВ;284,32;284,32;0,00;по нормативу
2100111011;2026-07;ХВО;136,47;136,47;0,00;по нормативу
2100111011;2026-08;ХВ;240,03;240,03;0,00;по нормативу
2100111011;2026-08;ХВО;115,21;115,21;0,00;по нормативу
2100121122;2026-06;ХВ;401,64;401,64;0,00;по счётчику
2100121122;2026-06;ХВО;192,79;192,79;0,00;по счётчику
2100121122;2026-07;ХВ;512,23;512,23;0,00;по счётчику
2100121122;2026-07;ХВО;245,87;245,87;0,00;по счётчику
2100121122;2026-08;ХВ;280,91;280,91;0,00;по счётчику
2100121122;2026-08;ХВО;134,84;134,84;0,00;по счётчику
2100126037;2026-06;ХВ;490,18;490,18;0,00;по нормативу
2100126037;2026-06;ХВО;235,29;235,29;0,00;по нормативу
2100126037;2026-06;ГВ;900,44;900,44;0,00;по нормативу
2100126037;2026-06;ГВО;432,21;432,21;0,00;по нормативу
2100126037;2026-07;ХВ;231,26;231,26;0,00;по нормативу
2100126037;2026-07;ХВО;111,00;111,00;0,00;по нормативу
2100126037;2026-07;ГВ;930,27;930,27;0,00;по нормативу
2100126037;2026-07;ГВО;446,53;446,53;0,00;по нормативу
2100126037;2026-08;ХВ;285,72;285,72;0,00;по нормативу
2100126037;2026-08;ХВО;137,15;137,15;0,00;по нормативу
2100126037;2026-08;ГВ;732,96;732,96;0,00;по нормативу
2100126037;2026-08;ГВО;351,82;351,82;0,00;по нормативу
2100131223;2026-06;ХВ;313,50;0,00;313,50;по счётчику
2100131223;2026-06;ХВО;150,48;0,00;150,48;по счётчику
2100131223;2026-07;ХВ;628,78;0,00;628,78;по счётчику
2100131223;2026-07;ХВО;301,81;0,00;301,81;по счётчику
2100131223;2026-08;ХВ;511,13;0,00;511,13;по счётчику
2100131223;2026-08;ХВО;245,34;0,00;245,34;по счётчику
2100137148;2026-06;ХВ;263,43;263,43;0,00;по счётчику
2100137148;2026-06;ХВО;126,45;126,45;0,00;по счётчику
2100137148;2026-06;Полив;191,51;191,51;0,00;по нормативу
2100137148;2026-07;ХВ;529,26;529,26;0,00;по счётчику
2100137148;2026-07;ХВО;254,04;254,04;0,00;по счётчику
2100137148;2026-07;Полив;252,28;252,28;0,00;по нормативу
2100137148;2026-08;ХВ;639,44;639,44;0,00;по счётчику
2100137148;2026-08;ХВО;306,93;306,93;0,00;по счётчику
2100137148;2026-08;Полив;143,46;143,46;0,00;по нормативу
2100141324;2026-06;ХВ;445,46;445,46;0,00;по нормативу
2100141324;2026-06;ХВО;213,82;213,82;0,00;по нормативу
2100141324;2026-06;ГВ;829,38;829,38;0,00;по нормативу
2100141324;2026-06;ГВО;398,10;398,10;0,00;по нормативу
2100141324;2026-07;ХВ;568,34;568,34;0,00;по нормативу
2100141324;2026-07;ХВО;272,80;272,80;0,00;по нормативу
2100141324;2026-07;ГВ;890,08;890,08;0,00;перерасчёт
2100141324;2026-07;ГВО;427,24;427,24;0,00;перерасчёт
2100141324;2026-08;ХВ;433,89;433,89;0,00;по нормативу
2100141324;2026-08;ХВО;208,27;208,27;0,00;по нормативу
2100141324;2026-08;ГВ;886,19;886,19;0,00;по нормативу
2100141324;2026-08;ГВО;425,37;425,37;0,00;по нормативу
2100148259;2026-06;ХВ;232,26;232,26;0,00;по счётчику
2100148259;2026-06;ХВО;111,48;111,48;0,00;по счётчику
2100148259;2026-07;ХВ;203,99;203,99;0,00;по счётчику
2100148259;2026-07;ХВО;97,92;97,92;0,00;по счётчику
2100148259;2026-08;ХВ;260,04;260,04;0,00;по счётчику
2100148259;2026-08;ХВО;124,82;124,82;0,00;по счётчику
2100159360;2026-06;ХВ;576,79;576,79;0,00;по счётчику
2100159360;2026-06;ХВО;276,86;276,86;0,00;по счётчику
2100159360;2026-06;Полив;178,84;178,84;0,00;по нормативу
2100159360;2026-07;ХВ;314,40;209,69;104,71;по счётчику
2100159360;2026-07;ХВО;150,91;100,65;50,26;по счётчику
2100159360;2026-07;Полив;207,83;138,61;69,22;по нормативу
2100159360;2026-08;ХВ;299,69;0,00;299,69;по счётчику
2100159360;2026-08;ХВО;143,85;0,00;143,85;по счётчику
2100159360;2026-08;Полив;228,01;0,00;228,01;по нормативу
2100160471;2026-06;ХВ;228,34;228,34;0,00;по счётчику
2100160471;2026-06;ХВО;109,60;109,60;0,00;по счётчику
2100160471;2026-07;ХВ;616,62;616,62;0,00;по счётчику
2100160471;2026-07;ХВО;295,98;295,98;0,00;по счётчику
2100160471;2026-08;ХВ;214,91;214,91;0,00;по счётчику
2100160471;2026-08;ХВО;103,16;103,16;0,00;по счётчику
2100161526;2026-06;ХВ;279,60;279,60;0,00;по счётчику
2100161526;2026-06;ХВО;134,21;134,21;0,00;по счётчику
2100161526;2026-07;ХВ;363,20;363,20;0,00;по счётчику
2100161526;2026-07;ХВО;174,34;174,34;0,00;по счётчику
2100161526;2026-08;ХВ;518,88;518,88;0,00;по счётчику
2100161526;2026-08;ХВО;249,06;249,06;0,00;по счётчику
2100171627;2026-06;ХВ;469,73;469,73;0,00;по счётчику
2100171627;2026-06;ХВО;225,47;225,47;0,00;по счётчику
2100171627;2026-07;ХВ;638,83;497,28;141,55;по счётчику
2100171627;2026-07;ХВО;306,64;238,70;67,94;по счётчику
2100171627;2026-08;ХВ;361,86;0,00;361,86;по счётчику
2100171627;2026-08;ХВО;173,69;0,00;173,69;по счётчику
2100181728;2026-06;ХВ;298,53;298,53;0,00;по счётчику
2100181728;2026-06;ХВО;143,29;143,29;0,00;по счётчику
2100181728;2026-07;ХВ;236,68;236,68;0,00;по счётчику
2100181728;2026-07;ХВО;113,61;113,61;0,00;по счётчику
2100181728;2026-08;ХВ;369,62;369,62;0,00;перерасчёт
2100181728;2026-08;ХВО;177,42;177,42;0,00;перерасчёт
2100182693;2026-06;ХВ;605,48;565,79;39,69;по счётчику
2100182693;2026-06;ХВО;290,63;271,58;19,05;по счётчику
2100182693;2026-06;Полив;136,87;127,90;8,97;по нормативу
2100182693;2026-07;ХВ;228,18;0,00;228,18;по счётчику
2100182693;2026-07;ХВО;109,53;0,00;109,53;по счётчику
2100182693;2026-07;Полив;195,01;0,00;195,01;по нормативу
2100182693;2026-08;ХВ;608,99;0,00;608,99;по счётчику
2100182693;2026-08;ХВО;292,32;0,00;292,32;по счётчику
2100182693;2026-08;Полив;140,34;0,00;140,34;по нормативу
2100191829;2026-06;ХВ;537,08;537,08;0,00;по счётчику
2100191829;2026-06;ХВО;257,80;257,80;0,00;по счётчику
2100191829;2026-07;ХВ;529,27;529,27;0,00;по счётчику
2100191829;2026-07;ХВО;254,05;254,05;0,00;по счётчику
2100191829;2026-08;ХВ;490,83;490,83;0,00;по счётчику
2100191829;2026-08;ХВО;235,60;235,60;0,00;по счётчику
2100193704;2026-06;ХВ;545,78;545,78;0,00;по нормативу
2100193704;2026-06;ХВО;261,97;261,97;0,00;по нормативу
2100193704;2026-07;ХВ;457,67;457,67;0,00;по нормативу
2100193704;2026-07;ХВО;219,68;219,68;0,00;по нормативу
2100193704;2026-08;ХВ;402,49;402,49;0,00;по нормативу
2100193704;2026-08;ХВО;193,20;193,20;0,00;по нормативу
2100201930;2026-06;ХВ;244,44;244,44;0,00;по счётчику
2100201930;2026-06;ХВО;117,33;117,33;0,00;по счётчику
2100201930;2026-07;ХВ;576,65;576,65;0,00;по счётчику
2100201930;2026-07;ХВО;276,79;276,79;0,00;по счётчику
2100201930;2026-08;ХВ;432,46;432,46;0,00;по счётчику
2100201930;2026-08;ХВО;207,58;207,58;0,00;по счётчику
2100202213;2026-06;ХВ;474,42;474,42;0,00;по нормативу
2100202213;2026-06;ХВО;227,72;227,72;0,00;по нормативу
2100202213;2026-06;ГВ;818,24;818,24;0,00;по нормативу
2100202213;2026-06;ГВО;392,76;392,76;0,00;по нормативу
2100202213;2026-07;ХВ;288,70;288,70;0,00;по нормативу
2100202213;2026-07;ХВО;138,58;138,58;0,00;по нормативу
2100202213;2026-07;ГВ;662,93;662,93;0,00;по нормативу
2100202213;2026-07;ГВО;318,21;318,21;0,00;по нормативу
2100202213;2026-08;ХВ;588,20;226,69;361,51;по нормативу
2100202213;2026-08;ХВО;282,34;108,81;173,53;по нормативу
2100202213;2026-08;ГВ;786,02;302,93;483,09;по нормативу
2100202213;2026-08;ГВО;377,29;145,42;231,87;по нормативу
2100204815;2026-06;ХВ;554,01;554,01;0,00;по счётчику
2100204815;2026-06;ХВО;265,92;265,92;0,00;по счётчику
2100204815;2026-07;ХВ;605,67;605,67;0,00;по счётчику
2100204815;2026-07;ХВО;290,72;290,72;0,00;по счётчику
2100204815;2026-08;ХВ;635,20;635,20;0,00;по счётчику
2100204815;2026-08;ХВО;304,90;304,90;0,00;по счётчику
2100212031;2026-06;ХВ;428,86;0,00;428,86;по нормативу
2100212031;2026-06;ХВО;205,85;0,00;205,85;по нормативу
2100212031;2026-07;ХВ;200,75;0,00;200,75;по нормативу
2100212031;2026-07;ХВО;96,36;0,00;96,36;по нормативу
2100212031;2026-08;ХВ;399,95;0,00;399,95;по нормативу
2100212031;2026-08;ХВО;191,98;0,00;191,98;по нормативу
2100223132;2026-06;ХВ;447,45;447,45;0,00;по счётчику
2100223132;2026-06;ХВО;214,78;214,78;0,00;по счётчику
2100223132;2026-07;ХВ;569,20;569,20;0,00;по счётчику
2100223132;2026-07;ХВО;273,22;273,22;0,00;по счётчику
2100223132;2026-08;ХВ;473,94;473,94;0,00;по счётчику
2100223132;2026-08;ХВО;227,49;227,49;0,00;по счётчику
2100233233;2026-06;ХВ;212,22;212,22;0,00;по счётчику
2100233233;2026-06;ХВО;101,87;101,87;0,00;по счётчику
2100233233;2026-07;ХВ;248,10;248,10;0,00;по счётчику
2100233233;2026-07;ХВО;119,09;119,09;0,00;по счётчику
2100233233;2026-08;ХВ;479,33;479,33;0,00;по счётчику
2100233233;2026-08;ХВО;230,08;230,08;0,00;по счётчику
2100243334;2026-06;ХВ;551,36;551,36;0,00;по нормативу
2100243334;2026-06;ХВО;264,65;264,65;0,00;по нормативу
2100243334;2026-06;ГВ;715,72;715,72;0,00;по нормативу
2100243334;2026-06;ГВО;343,55;343,55;0,00;по нормативу
2100243334;2026-06;Полив;108,45;108,45;0,00;по нормативу
2100243334;2026-07;ХВ;300,09;300,09;0,00;по нормативу
2100243334;2026-07;ХВО;144,04;144,04;0,00;по нормативу
2100243334;2026-07;ГВ;581,46;581,46;0,00;по нормативу
2100243334;2026-07;ГВО;279,10;279,10;0,00;по нормативу
2100243334;2026-07;Полив;148,79;148,79;0,00;по нормативу
2100243334;2026-08;ХВ;439,86;278,47;161,39;по нормативу
2100243334;2026-08;ХВО;211,13;133,66;77,47;по нормативу
2100243334;2026-08;ГВ;409,58;259,30;150,28;по нормативу
2100243334;2026-08;ГВО;196,60;124,46;72,14;по нормативу
2100243334;2026-08;Полив;127,33;80,61;46,72;по нормативу
2100248259;2026-06;ХВ;628,66;628,66;0,00;по счётчику
2100248259;2026-06;ХВО;301,76;301,76;0,00;по счётчику
2100248259;2026-06;Полив;220,51;220,51;0,00;по нормативу
2100248259;2026-07;ХВ;445,82;445,82;0,00;по счётчику
2100248259;2026-07;ХВО;213,99;213,99;0,00;по счётчику
2100248259;2026-07;Полив;256,57;256,57;0,00;по нормативу
2100248259;2026-08;ХВ;566,55;566,55;0,00;по счётчику
2100248259;2026-08;ХВО;271,94;271,94;0,00;по счётчику
2100248259;2026-08;Полив;107,96;107,96;0,00;по нормативу
2100253435;2026-06;ХВ;456,12;456,12;0,00;по счётчику
2100253435;2026-06;ХВО;218,94;218,94;0,00;по счётчику
2100253435;2026-07;ХВ;627,63;627,63;0,00;по счётчику
2100253435;2026-07;ХВО;301,26;301,26;0,00;по счётчику
2100253435;2026-08;ХВ;263,43;263,43;0,00;по счётчику
2100253435;2026-08;ХВО;126,45;126,45;0,00;по счётчику
2100259360;2026-06;ХВ;605,51;605,51;0,00;по счётчику
2100259360;2026-06;ХВО;290,64;290,64;0,00;по счётчику
2100259360;2026-06;Полив;159,37;159,37;0,00;по нормативу
2100259360;2026-07;ХВ;467,49;467,49;0,00;по счётчику
2100259360;2026-07;ХВО;224,40;224,40;0,00;по счётчику
2100259360;2026-07;Полив;190,07;190,07;0,00;по нормативу
2100259360;2026-08;ХВ;232,01;232,01;0,00;по счётчику
2100259360;2026-08;ХВО;111,36;111,36;0,00;по счётчику
2100259360;2026-08;Полив;196,98;196,98;0,00;по нормативу
2100260471;2026-06;ХВ;445,02;445,02;0,00;по счётчику
2100260471;2026-06;ХВО;213,61;213,61;0,00;по счётчику
2100260471;2026-07;ХВ;244,56;244,56;0,00;по счётчику
2100260471;2026-07;ХВО;117,39;117,39;0,00;по счётчику
2100260471;2026-08;ХВ;538,45;538,45;0,00;по счётчику
2100260471;2026-08;ХВО;258,46;258,46;0,00;по счётчику
2100263536;2026-06;ХВ;429,32;429,32;0,00;по счётчику
2100263536;2026-06;ХВО;206,07;206,07;0,00;по счётчику
2100263536;2026-07;ХВ;614,55;614,55;0,00;по счётчику
2100263536;2026-07;ХВО;294,98;294,98;0,00;по счётчику
2100263536;2026-08;ХВ;435,95;435,95;0,00;по счётчику
2100263536;2026-08;ХВО;209,26;209,26;0,00;по счётчику
2100271582;2026-06;ХВ;229,78;229,78;0,00;по счётчику
2100271582;2026-06;ХВО;110,29;110,29;0,00;по счётчику
2100271582;2026-06;Полив;251,31;251,31;0,00;по нормативу
2100271582;2026-07;ХВ;235,32;235,32;0,00;по счётчику
2100271582;2026-07;ХВО;112,95;112,95;0,00;по счётчику
2100271582;2026-07;Полив;254,12;254,12;0,00;по нормативу
2100271582;2026-08;ХВ;278,47;278,47;0,00;перерасчёт
2100271582;2026-08;ХВО;133,67;133,67;0,00;перерасчёт
2100271582;2026-08;Полив;173,94;173,94;0,00;по нормативу
2100273637;2026-06;ХВ;192,85;192,85;0,00;по счётчику
2100273637;2026-06;ХВО;92,57;92,57;0,00;по счётчику
2100273637;2026-07;ХВ;243,60;243,60;0,00;по счётчику
2100273637;2026-07;ХВО;116,93;116,93;0,00;по счётчику
2100273637;2026-08;ХВ;356,98;356,98;0,00;по счётчику
2100273637;2026-08;ХВО;171,35;171,35;0,00;по счётчику
2100282693;2026-06;ХВ;181,78;181,78;0,00;по счётчику
2100282693;2026-06;ХВО;87,25;87,25;0,00;по счётчику
2100282693;2026-07;ХВ;517,60;517,60;0,00;по счётчику
2100282693;2026-07;ХВО;248,45;248,45;0,00;по счётчику
2100282693;2026-08;ХВ;599,61;599,61;0,00;по счётчику
2100282693;2026-08;ХВО;287,81;287,81;0,00;по счётчику
2100293704;2026-06;ХВ;602,16;602,16;0,00;по нормативу
2100293704;2026-06;ХВО;289,04;289,04;0,00;по нормативу
2100293704;2026-07;ХВ;496,95;496,95;0,00;по нормативу
2100293704;2026-07;ХВО;238,54;238,54;0,00;по нормативу
2100293704;2026-08;ХВ;211,61;211,61;0,00;по нормативу
2100293704;2026-08;ХВО;101,57;101,57;0,00;по нормативу
2100293839;2026-06;ХВ;319,71;319,71;0,00;по счётчику
2100293839;2026-06;ХВО;153,46;153,46;0,00;по счётчику
2100293839;2026-07;ХВ;517,48;517,48;0,00;по счётчику
2100293839;2026-07;ХВО;248,39;248,39;0,00;по счётчику
2100293839;2026-08;ХВ;299,65;299,65;0,00;по счётчику
2100293839;2026-08;ХВО;143,83;143,83;0,00;по счётчику
2100303314;2026-06;ХВ;626,72;626,72;0,00;по счётчику
2100303314;2026-06;ХВО;300,83;300,83;0,00;по счётчику
2100303314;2026-07;ХВ;315,10;315,10;0,00;по счётчику
2100303314;2026-07;ХВО;151,25;151,25;0,00;по счётчику
2100303314;2026-08;ХВ;438,31;438,31;0,00;по счётчику
2100303314;2026-08;ХВО;210,39;210,39;0,00;по счётчику
2100303940;2026-06;ХВ;274,42;274,42;0,00;по счётчику
2100303940;2026-06;ХВО;131,72;131,72;0,00;по счётчику
2100303940;2026-07;ХВ;215,76;215,76;0,00;по счётчику
2100303940;2026-07;ХВО;103,56;103,56;0,00;по счётчику
2100303940;2026-08;ХВ;393,93;393,93;0,00;по счётчику
2100303940;2026-08;ХВО;189,09;189,09;0,00;по счётчику
2100304815;2026-06;ХВ;332,44;332,44;0,00;по счётчику
2100304815;2026-06;ХВО;159,57;159,57;0,00;по счётчику
2100304815;2026-06;Полив;177,85;177,85;0,00;по нормативу
2100304815;2026-07;ХВ;246,54;246,54;0,00;по счётчику
2100304815;2026-07;ХВО;118,34;118,34;0,00;по счётчику
2100304815;2026-07;Полив;170,59;170,59;0,00;по нормативу
2100304815;2026-08;ХВ;403,43;7,63;395,80;по счётчику
2100304815;2026-08;ХВО;193,65;3,66;189,99;по счётчику
2100304815;2026-08;Полив;162,33;3,08;159,25;по нормативу
2100314041;2026-06;ХВ;446,37;446,37;0,00;по нормативу
2100314041;2026-06;ХВО;214,26;214,26;0,00;по нормативу
2100314041;2026-07;ХВ;182,29;182,29;0,00;по нормативу
2100314041;2026-07;ХВО;87,50;87,50;0,00;по нормативу
2100314041;2026-08;ХВ;527,02;527,02;0,00;по нормативу
2100314041;2026-08;ХВО;252,97;252,97;0,00;по нормативу
2100315926;2026-06;ХВ;480,66;480,66;0,00;по счётчику
2100315926;2026-06;ХВО;230,72;230,72;0,00;по счётчику
2100315926;2026-07;ХВ;262,76;262,76;0,00;по счётчику
2100315926;2026-07;ХВО;126,12;126,12;0,00;по счётчику
2100315926;2026-08;ХВ;227,09;227,09;0,00;перерасчёт
2100315926;2026-08;ХВО;109,00;109,00;0,00;перерасчёт
2100324142;2026-06;ХВ;562,65;562,65;0,00;по счётчику
2100324142;2026-06;ХВО;270,07;270,07;0,00;по счётчику
2100324142;2026-07;ХВ;187,61;117,97;69,64;по счётчику
2100324142;2026-07;ХВО;90,05;56,63;33,42;по счётчику
2100324142;2026-08;ХВ;583,88;0,00;583,88;по счётчику
2100324142;2026-08;ХВО;280,26;0,00;280,26;по счётчику
2100326037;2026-06;ХВ;321,81;321,81;0,00;по нормативу
2100326037;2026-06;ХВО;154,47;154,47;0,00;по нормативу
2100326037;2026-06;ГВ;340,00;340,00;0,00;по нормативу
2100326037;2026-06;ГВО;163,20;163,20;0,00;по нормативу
2100326037;2026-07;ХВ;322,17;322,17;0,00;по нормативу
2100326037;2026-07;ХВО;154,64;154,64;0,00;по нормативу
2100326037;2026-07;ГВ;889,75;889,75;0,00;по нормативу
2100326037;2026-07;ГВО;427,08;427,08;0,00;по нормативу
2100326037;2026-08;ХВ;237,03;25,35;211,68;по нормативу
2100326037;2026-08;ХВО;113,77;12,17;101,60;по нормативу
2100326037;2026-08;ГВ;440,69;47,13;393,56;по нормативу
2100326037;2026-08;ГВО;211,53;22,63;188,90;по нормативу
2100334243;2026-06;ХВ;181,35;181,35;0,00;по счётчику
2100334243;2026-06;ХВО;87,05;87,05;0,00;по счётчику
2100334243;2026-06;Полив;163,17;163,17;0,00;по нормативу
2100334243;2026-07;ХВ;430,22;430,22;0,00;по счётчику
2100334243;2026-07;ХВО;206,51;206,51;0,00;по счётчику
2100334243;2026-07;Полив;133,20;133,20;0,00;по нормативу
2100334243;2026-08;ХВ;197,38;197,38;0,00;по счётчику
2100334243;2026-08;ХВО;94,74;94,74;0,00;по счётчику
2100334243;2026-08;Полив;206,41;206,41;0,00;по нормативу
2100337148;2026-06;ХВ;527,54;527,54;0,00;по счётчику
2100337148;2026-06;ХВО;253,22;253,22;0,00;по счётчику
2100337148;2026-06;Полив;129,07;129,07;0,00;по нормативу
2100337148;2026-07;ХВ;484,37;484,37;0,00;по счётчику
2100337148;2026-07;ХВО;232,50;232,50;0,00;по счётчику
2100337148;2026-07;Полив;204,21;204,21;0,00;по нормативу
2100337148;2026-08;ХВ;355,51;355,51;0,00;по счётчику
2100337148;2026-08;ХВО;170,64;170,64;0,00;по счётчику
2100337148;2026-08;Полив;104,67;104,67;0,00;по нормативу
2100344344;2026-06;ХВ;406,32;406,32;0,00;перерасчёт
2100344344;2026-06;ХВО;195,03;195,03;0,00;перерасчёт
2100344344;2026-06;ГВ;660,63;660,63;0,00;по нормативу
2100344344;2026-06;ГВО;317,10;317,10;0,00;по нормативу
2100344344;2026-07;ХВ;298,15;298,15;0,00;по нормативу
2100344344;2026-07;ХВО;143,11;143,11;0,00;по нормативу
2100344344;2026-07;ГВ;471,66;471,66;0,00;по нормативу
2100344344;2026-07;ГВО;226,40;226,40;0,00;по нормативу
2100344344;2026-08;ХВ;497,43;497,43;0,00;по нормативу
2100344344;2026-08;ХВО;238,77;238,77;0,00;по нормативу
2100344344;2026-08;ГВ;361,31;361,31;0,00;по нормативу
2100344344;2026-08;ГВО;173,43;173,43;0,00;по нормативу
2100348259;2026-06;ХВ;557,49;557,49;0,00;по счётчику
2100348259;2026-06;ХВО;267,60;267,60;0,00;по счётчику
2100348259;2026-06;Полив;194,13;194,13;0,00;по нормативу
2100348259;2026-07;ХВ;444,87;444,87;0,00;по счётчику
2100348259;2026-07;ХВО;213,54;213,54;0,00;по счётчику
2100348259;2026-07;Полив;184,81;184,81;0,00;по нормативу
2100348259;2026-08;ХВ;261,06;261,06;0,00;по счётчику
2100348259;2026-08;ХВО;125,31;125,31;0,00;по счётчику
2100348259;2026-08;Полив;120,31;120,31;0,00;по нормативу
2100354445;2026-06;ХВ;207,08;207,08;0,00;по счётчику
2100354445;2026-06;ХВО;99,40;99,40;0,00;по счётчику
2100354445;2026-06;Полив;255,72;255,72;0,00;по нормативу
2100354445;2026-07;ХВ;505,28;505,28;0,00;по счётчику
2100354445;2026-07;ХВО;242,53;242,53;0,00;по счётчику
2100354445;2026-07;Полив;113,99;113,99;0,00;по нормативу
2100354445;2026-08;ХВ;223,79;223,79;0,00;по счётчику
2100354445;2026-08;ХВО;107,42;107,42;0,00;по счётчику
